Date,,Stage,Stage_m
1/1/2015,1:00:00 AM,19.68,6
1/1/2015,2:00:00 AM,19.65,5.99
1/1/2015,3:00:00 AM,19.61,5.98
1/1/2015,4:00:00 AM,19.57,5.96
1/1/2015,5:00:00 AM,19.54,5.96
1/1/2015,6:00:00 AM,19.5,5.94
1/1/2015,7:00:00 AM,19.47,5.93
1/1/2015,8:00:00 AM,19.44,5.93
1/1/2015,9:00:00 AM,19.4,5.91
1/1/2015,10:00:00 AM,19.37,5.9
1/1/2015,11:00:00 AM,19.33,5.89
1/1/2015,12:00:00 PM,19.29,5.88
1/1/2015,1:00:00 PM,19.26,5.87
1/1/2015,2:00:00 PM,19.22,5.86
1/1/2015,3:00:00 PM,19.18,5.85
1/1/2015,4:00:00 PM,19.14,5.83
1/1/2015,5:00:00 PM,19.1,5.82
1/1/2015,6:00:00 PM,19.06,5.81
1/1/2015,7:00:00 PM,19.03,5.8
1/1/2015,8:00:00 PM,19,5.79
1/1/2015,9:00:00 PM,18.97,5.78
1/1/2015,10:00:00 PM,18.94,5.77
1/1/2015,11:00:00 PM,18.91,5.76
1/2/2015,12:00:00 AM,18.88,5.75
1/2/2015,1:00:00 AM,18.85,5.75
1/2/2015,2:00:00 AM,18.83,5.74
1/2/2015,3:00:00 AM,18.8,5.73
1/2/2015,4:00:00 AM,18.78,5.72
1/2/2015,5:00:00 AM,18.75,5.72
1/2/2015,6:00:00 AM,18.72,5.71
1/2/2015,7:00:00 AM,18.69,5.7
1/2/2015,8:00:00 AM,18.66,5.69
1/2/2015,9:00:00 AM,18.63,5.68
1/2/2015,10:00:00 AM,18.61,5.67
1/2/2015,11:00:00 AM,18.58,5.66
1/2/2015,12:00:00 PM,18.55,5.65
1/2/2015,1:00:00 PM,18.52,5.64
1/2/2015,2:00:00 PM,18.49,5.64
1/2/2015,3:00:00 PM,18.47,5.63
1/2/2015,4:00:00 PM,18.44,5.62
1/2/2015,5:00:00 PM,18.41,5.61
1/2/2015,6:00:00 PM,18.39,5.61
1/2/2015,7:00:00 PM,18.36,5.6
1/2/2015,8:00:00 PM,18.34,5.59
1/2/2015,9:00:00 PM,18.32,5.58
1/2/2015,10:00:00 PM,18.3,5.58
1/2/2015,11:00:00 PM,18.27,5.57
1/3/2015,12:00:00 AM,18.25,5.56
1/3/2015,1:00:00 AM,18.23,5.56
1/3/2015,2:00:00 AM,18.2,5.55
1/3/2015,3:00:00 AM,18.18,5.54
1/3/2015,4:00:00 AM,18.16,5.54
1/3/2015,5:00:00 AM,18.13,5.53
1/3/2015,6:00:00 AM,18.11,5.52
1/3/2015,7:00:00 AM,18.09,5.51
