Date,E (PST),Stage,Month,Stage_m
1/1/2014,1:00:00 AM,13.61,January,4.148328
1/1/2014,2:00:00 AM,13.61,January,4.148328
1/1/2014,3:00:00 AM,13.61,January,4.148328
1/1/2014,4:00:00 AM,13.63,January,4.154424
1/1/2014,5:00:00 AM,13.6,January,4.14528
1/1/2014,6:00:00 AM,13.61,January,4.148328
1/1/2014,7:00:00 AM,13.61,January,4.148328
1/1/2014,8:00:00 AM,13.61,January,4.148328
1/1/2014,9:00:00 AM,13.6,January,4.14528
1/1/2014,10:00:00 AM,13.59,January,4.142232
1/1/2014,11:00:00 AM,13.6,January,4.14528
1/1/2014,12:00:00 PM,13.57,January,4.136136
1/1/2014,1:00:00 PM,13.56,January,4.133088
1/1/2014,2:00:00 PM,13.57,January,4.136136
1/1/2014,3:00:00 PM,13.57,January,4.136136
1/1/2014,4:00:00 PM,13.57,January,4.136136
1/1/2014,5:00:00 PM,13.57,January,4.136136
1/1/2014,6:00:00 PM,13.56,January,4.133088
1/1/2014,7:00:00 PM,13.56,January,4.133088
1/1/2014,8:00:00 PM,13.56,January,4.133088
1/1/2014,9:00:00 PM,13.56,January,4.133088
1/1/2014,10:00:00 PM,13.56,January,4.133088
1/1/2014,11:00:00 PM,13.57,January,4.136136
1/2/2014,12:00:00 AM,13.58,January,4.139184
1/2/2014,1:00:00 AM,13.58,January,4.139184
1/2/2014,2:00:00 AM,13.59,January,4.142232
1/2/2014,3:00:00 AM,13.59,January,4.142232
1/2/2014,4:00:00 AM,13.61,January,4.148328
1/2/2014,5:00:00 AM,13.62,January,4.151376
1/2/2014,6:00:00 AM,13.6,January,4.14528
1/2/2014,7:00:00 AM,13.61,January,4.148328
1/2/2014,8:00:00 AM,13.6,January,4.14528
1/2/2014,9:00:00 AM,13.58,January,4.139184
1/2/2014,10:00:00 AM,13.56,January,4.133088
1/2/2014,11:00:00 AM,13.56,January,4.133088
1/2/2014,12:00:00 PM,13.54,January,4.126992
1/2/2014,1:00:00 PM,13.51,January,4.117848
1/2/2014,2:00:00 PM,13.5,January,4.1148
1/2/2014,3:00:00 PM,13.5,January,4.1148
1/2/2014,4:00:00 PM,13.49,January,4.111752
1/2/2014,5:00:00 PM,13.49,January,4.111752
1/2/2014,6:00:00 PM,13.49,January,4.111752
1/2/2014,7:00:00 PM,13.48,January,4.108704
1/2/2014,8:00:00 PM,13.47,January,4.105656
1/2/2014,9:00:00 PM,13.47,January,4.105656
1/2/2014,10:00:00 PM,13.48,January,4.108704
1/2/2014,11:00:00 PM,13.48,January,4.108704
1/3/2014,12:00:00 AM,13.48,January,4.108704
1/3/2014,1:00:00 AM,13.49,January,4.111752
1/3/2014,2:00:00 AM,13.47,January,4.105656
1/3/2014,3:00:00 AM,13.5,January,4.1148
1/3/2014,4:00:00 AM,13.53,January,4.123944
1/3/2014,5:00:00 AM,13.53,January,4.123944
1/3/2014,6:00:00 AM,13.49,January,4.111752
1/3/2014,7:00:00 AM,13.53,January,4.123944
1/3/2014,8:00:00 AM,13.53,January,4.123944
1/3/2014,9:00:00 AM,13.47,January,4.105656
1/3/2014,10:00:00 AM,13.48,January,4.108704
1/3/2014,11:00:00 AM,13.47,January,4.105656
1/3/2014,12:00:00 PM,13.46,January,4.102608
1/3/2014,1:00:00 PM,13.43,January,4.093464
1/3/2014,2:00:00 PM,13.43,January,4.093464
1/3/2014,3:00:00 PM,13.43,January,4.093464
1/3/2014,4:00:00 PM,13.42,January,4.090416
1/3/2014,5:00:00 PM,13.42,January,4.090416
1/3/2014,6:00:00 PM,13.41,January,4.087368
1/3/2014,7:00:00 PM,13.4,January,4.08432
1/3/2014,8:00:00 PM,13.4,January,4.08432
1/3/2014,9:00:00 PM,13.4,January,4.08432
1/3/2014,10:00:00 PM,13.4,January,4.08432
1/3/2014,11:00:00 PM,13.4,January,4.08432
1/4/2014,12:00:00 AM,13.4,January,4.08432
1/4/2014,1:00:00 AM,13.39,January,4.081272
1/4/2014,2:00:00 AM,13.4,January,4.08432
1/4/2014,3:00:00 AM,13.42,January,4.090416
1/4/2014,4:00:00 AM,13.42,January,4.090416
1/4/2014,5:00:00 AM,13.42,January,4.090416
1/4/2014,6:00:00 AM,13.41,January,4.087368
1/4/2014,7:00:00 AM,13.43,January,4.093464
1/4/2014,8:00:00 AM,13.4,January,4.08432
1/4/2014,9:00:00 AM,13.41,January,4.087368
1/4/2014,10:00:00 AM,13.42,January,4.090416
1/4/2014,11:00:00 AM,13.42,January,4.090416
1/4/2014,12:00:00 PM,13.44,January,4.096512
1/4/2014,1:00:00 PM,13.39,January,4.081272
1/4/2014,2:00:00 PM,13.41,January,4.087368
1/4/2014,3:00:00 PM,13.43,January,4.093464
1/4/2014,4:00:00 PM,13.47,January,4.105656
1/4/2014,5:00:00 PM,13.45,January,4.09956
1/4/2014,6:00:00 PM,13.42,January,4.090416
1/4/2014,7:00:00 PM,13.43,January,4.093464
1/4/2014,8:00:00 PM,13.44,January,4.096512
1/4/2014,9:00:00 PM,13.43,January,4.093464
1/4/2014,10:00:00 PM,13.41,January,4.087368
1/4/2014,11:00:00 PM,13.41,January,4.087368
1/5/2014,12:00:00 AM,13.45,January,4.09956
1/5/2014,1:00:00 AM,13.45,January,4.09956
1/5/2014,2:00:00 AM,13.46,January,4.102608
1/5/2014,3:00:00 AM,13.46,January,4.102608
1/5/2014,4:00:00 AM,13.47,January,4.105656
1/5/2014,5:00:00 AM,13.47,January,4.105656
1/5/2014,6:00:00 AM,13.47,January,4.105656
1/5/2014,7:00:00 AM,13.46,January,4.102608
