Sample ID ,Site,Date,Year,Tissue,d34S ,d13C,d15N,Caged,WDN,R_FP,week ,Day,subsite,Exp_Wild
YB140007 M,Yolo Bypass,NA,1999,M,-1.38,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140008 M,Yolo Bypass,NA,1999,M,-2.46,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140009 M,Yolo Bypass,NA,1999,M,-1.71,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140010 M,Yolo Bypass,NA,1999,M,-1.04,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140011 F COMBINE,Yolo Bypass,NA,1999,F,-0.95,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140011 M,Yolo Bypass,NA,1999,M,-1.31,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140012 M,Yolo Bypass,NA,1999,M,-1.78,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140016 M,Yolo Bypass,NA,1999,M,-2.22,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140017 M,Yolo Bypass,NA,1999,M,-3.85,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140017 S COMBINED,Yolo Bypass,NA,1999,S,-0.7,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140018 M,Yolo Bypass,NA,1999,M,-1.62,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140019 M,Yolo Bypass,NA,1999,M,-1.89,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140021 M,Yolo Bypass,NA,1999,M,-2.3,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140022 M,Yolo Bypass,NA,1999,M,-2.3,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140023 M,Yolo Bypass,NA,1999,M,-2.14,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140024 M,Yolo Bypass,NA,1999,M,-2.29,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140033 M,Yolo Bypass,NA,1999,M,-0.7,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140034 M,Yolo Bypass,NA,1999,M,-1.47,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140036 M,Yolo Bypass,NA,1999,M,-1.57,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140041 M,Yolo Bypass,NA,1999,M,-1.4,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140043 M,Yolo Bypass,NA,1999,M,-1.2,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140045 M,Yolo Bypass,NA,1999,M,-0.21,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140048 M,Yolo Bypass,NA,1999,M,-0.04,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140049 M,Yolo Bypass,NA,1999,M,-3.67,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140050 M,Yolo Bypass,NA,1999,M,-3.11,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140051 M,Yolo Bypass,NA,1999,M,14.01,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140052 M,Yolo Bypass,NA,1999,M,-1.58,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140059 M,Yolo Bypass,NA,1999,M,-2.01,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140060 M,Yolo Bypass,NA,1999,M,-2.57,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140061 M,Yolo Bypass,NA,1999,M,-0.89,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140062 M,Yolo Bypass,NA,1999,M,-2.98,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
YB140063 M,Yolo Bypass,NA,1999,M,-2.59,NA,NA,uncaged,flood,Floodplain,4,NA,Floodplain,Wild
